Original Title,Closest 1,Closest 2,Closest 3,doi,Article_ID
journal of divorce  remarriage,Journal of Advanced Research,Journal of Diabetes Research,JOURNAL OF ADVANCED NURSING,https://doi.org/10.1080/10502556.2020.1768487,10-1080_10502556-2020-1768487
journal of economic dynamics and control,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,JOURNAL OF VIBRATION AND CONTROL,Journal of Economic Policy Reform,https://doi.org/10.1016/j.jedc.2020.103965,10-1016_j-jedc-2020-103965
journal of education policy,JOURNAL OF EDUCATION POLICY,Journal of Information Policy,Journal of Education Finance,https://doi.org/10.1080%2F02680939.2019.1576923,10-1080%2F02680939-2019-1576923
journal of educational research,JOURNAL OF EDUCATIONAL RESEARCH,JOURNAL OF RADIATION RESEARCH,JOURNAL OF POPULATION RESEARCH,https://doi.org/10.1080/00220671.2016.1157783,10-1080_00220671-2016-1157783
journal of educational sciences,Journal of Educational Change,Journal of Occupational Science,Journal of Computational Science,https://doi.org/10.35923/jes.2018.2.05,10-35923_jes-2018-2-05
journal of environmental psychology,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,JOURNAL OF ENVIRONMENTAL BIOLOGY,JOURNAL OF ENVIRONMENTAL EDUCATION,https://doi.org/10.1016/j.jenvp.2018.06.002,10-1016_j-jenvp-2018-06-002
journal of ethnic and cultural studies,Journal of African Cultural Studies,Journal of Urban Cultural Studies,Journal of Spanish Cultural Studies,https://doi.org/10.29333/ejecs/283,10-29333_ejecs_283
journal of ethnic and migration studies,JOURNAL OF ETHNIC AND MIGRATION STUDIES,Journal of Arabic and Islamic studies,Journal of Economic and Social Studies,https://doi.org/10.1080/1369183x.2021.1932444,10-1080_1369183x-2021-1932444
journal of experimental child psychology,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,https://doi.org/10.1016/j.jecp.2018.07.008,10-1016_j-jecp-2018-07-008
journal of experimental education,JOURNAL OF EXPERIMENTAL EDUCATION,Journal of Experiential Education,JOURNAL OF ENVIRONMENTAL EDUCATION,https://doi.org/10.1080/00220973.2016.1143793,10-1080_00220973-2016-1143793
journal of experimental psychology animal learning and cognition,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,https://doi.org/10.1037/xan0000258,10-1037_xan0000258
journal of experimental psychology applied,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,Journal of Experimental Psychopathology,https://doi.org/10.1037/xap0000308,10-1037_xap0000308
journal of experimental psychology general,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,Journal of Experimental Psychopathology,https://doi.org/10.1037/xge0000798,10-1037_xge0000798
journal of experimental psychology human perception and performance,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,https://doi.org/10.1037/xhp0000922,10-1037_xhp0000922
journal of experimental social psychology,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,https://doi.org/10.1016/j.jesp.2018.06.007,10-1016_j-jesp-2018-06-007
journal of eye movement research,Journal of Eye Movement Research,JOURNAL OF ADOLESCENT RESEARCH,Journal of Engineering Research,https://doi.org/10.16910/jemr.14.1.1,10-16910_jemr-14-1-1
journal of family issues,JOURNAL OF FAMILY ISSUES,Journal of Family Studies,JOURNAL OF SOCIAL ISSUES,https://doi.org/10.1177/0192513x19881773,10-1177_0192513x19881773
journal of family nursing,Journal of Family Nursing,Journal of Family Studies,JOURNAL OF FAMILY ISSUES,https://doi.org/10.1177/10748407211031980,10-1177_10748407211031980
journal of family research,JFR-Journal of Family Research,JOURNAL OF DAIRY RESEARCH,JOURNAL OF MARINE RESEARCH,https://doi.org/10.20377/jfr-666,10-20377_jfr-666
journal of family studies,Journal of Family Studies,JOURNAL OF FAMILY ISSUES,JOURNAL OF ASIAN STUDIES,empty,-5.93E+18
journal of family violence,JOURNAL OF FAMILY VIOLENCE,Journal of School Violence,JOURNAL OF FAMILY PRACTICE,https://doi.org/10.1007/s10896-019-00036-4,10-1007_s10896-019-00036-4
journal of gambling issues,Journal of Gambling Issues,JOURNAL OF GAMBLING STUDIES,JOURNAL OF FAMILY ISSUES,https://doi.org/10.4309/jgi.2021.47.9,10-4309_jgi-2021-47-9
journal of gambling studies,JOURNAL OF GAMBLING STUDIES,Journal of Gambling Issues,JOURNAL OF AGING STUDIES,https://doi.org/10.1007/s10899-021-10015-4,10-1007_s10899-021-10015-4
journal of gender studies,JOURNAL OF GENDER STUDIES,Journal of Hindu Studies,JOURNAL OF SENSORY STUDIES,https://doi.org/10.1080/09589236.2016.1234369,10-1080_09589236-2016-1234369
journal of globalization studies,JOURNAL OF BALTIC STUDIES,Journal of Global Security Studies,Journal of GLBT Family Studies,https://doi.org/10.30884/jogs/2020.02.11,10-30884_jogs_2020-02-11
journal of happiness studies,Journal of Happiness Studies,JOURNAL OF JAPANESE STUDIES,JOURNAL OF AGING STUDIES,https://doi.org/10.1007/s10902-020-00224-w,10-1007_s10902-020-00224-w
journal of health psychology,JOURNAL OF HEALTH PSYCHOLOGY,JOURNAL OF GENETIC PSYCHOLOGY,Journal of Black Psychology,https://doi.org/10.1177/1359105317727842,10-1177_1359105317727842
journal of hearing science,Journal of Hearing Science,Journal of Earth Science,JOURNAL OF MINING SCIENCE,https://doi.org/10.17430/jhs.2021.11.2.1,10-17430_jhs-2021-11-2-1
journal of homosexuality,JOURNAL OF HOMOSEXUALITY,Journal of Bisexuality,JOURNAL OF FOOD QUALITY,https://doi.org/10.1080/00918369.2019.1661728,10-1080_00918369-2019-1661728
journal of human behavior in the social environment,Journal of Human Behavior in the Social Environment,Journal of Sustainable Water in the Built Environment,Journal of Human Rights and the Environment,https://doi.org/10.1080/10911359.2019.1648225,10-1080_10911359-2019-1648225
journal of human kinetics,Journal of Human Kinetics,JOURNAL OF HUMAN GENETICS,Journal of Human Rights,https://doi.org/10.1515/hukin-2017-0149,10-1515_hukin-2017-0149
journal of humanistic psychology,JOURNAL OF HUMANISTIC PSYCHOLOGY,JOURNAL OF GENETIC PSYCHOLOGY,JOURNAL OF HEALTH PSYCHOLOGY,https://doi.org/10.1177/0022167821993243,10-1177_0022167821993243
journal of intellectual disabilities and offending behaviour,Journal of Intellectual Disabilities and Offending Behaviour,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,Journal of Intellectual Disabilities,https://doi.org/10.1108/jidob-10-2019-0019,10-1108_jidob-10-2019-0019
journal of intellectual disability research,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,Journal of Intellectual Disabilities,Journal of Intellectual Capital,https://doi.org/10.1111/jir.12497,10-1111_jir-12497
journal of intelligence,Journal of Intelligence,Journal of Intensive Care,JOURNAL OF INFECTION,https://doi.org/10.3390/jintelligence7020011,10-3390_jintelligence7020011
journal of international business studies,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Journal of International Business Policy,Journal of Media Business Studies,https://doi.org/10.1057/s41267-018-0174-4,10-1057_s41267-018-0174-4
journal of international studies,Journal of International Students,Journal of International Studies-JIS,Journal of Institutional Studies,empty,1.20E+18
journal of language modelling,Journal of Language Modelling,Journal of Choice Modelling,Journal of Language Evolution,https://doi.org/10.15398/jlm.v5i3.190,10-15398_jlm-v5i3-190
journal of language and social psychology,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,https://doi.org/10.1177/0261927x211044789,10-1177_0261927x211044789
journal of management information and decision sciences,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,Journal of Information and Organizational Sciences,empty,-7.81E+18
journal of management spirituality  religion,Journal of Management Spirituality & Religion,Journal of Religion Spirituality & Aging,Journal of Management & Organization,https://doi.org/10.51327/fevj7857,10-51327_fevj7857
journal of manipulative and physiological therapeutics,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS,https://doi.org/10.1016/j.jmpt.2019.03.002,10-1016_j-jmpt-2019-03-002
journal of medical ethics,JOURNAL OF MEDICAL ETHICS,Journal of Media Ethics,Journal of Medical Physics,https://doi.org/10.1136/medethics-2020-107153,10-1136_medethics-2020-107153
journal of medical internet research,JOURNAL OF MEDICAL INTERNET RESEARCH,Journal of Medical and Surgical Research,JOURNAL OF EDUCATIONAL RESEARCH,https://doi.org/10.2196/21445,10-2196_21445
journal of medical science,Journal of Medical Science,JOURNAL OF BIOMEDICAL SCIENCE,JOURNAL OF ANIMAL SCIENCE,https://doi.org/10.20883/jms.2017.212,10-20883_jms-2017-212
journal of memory and language,JOURNAL OF MEMORY AND LANGUAGE,JOURNAL OF CHILD LANGUAGE,Journal of Computer Languages,https://doi.org/10.1016/j.jml.2020.104189,10-1016_j-jml-2020-104189
journal of music therapy,JOURNAL OF MUSIC THERAPY,JOURNAL OF MUSIC THEORY,JOURNAL OF FAMILY THERAPY,https://doi.org/10.1093/jmt/thaa023,10-1093_jmt_thaa023
journal of neurovirology,JOURNAL OF NEUROVIROLOGY,JOURNAL OF NEURO-ONCOLOGY,JOURNAL OF NEUROLOGY,https://doi.org/10.1007/s13365-018-0679-4,10-1007_s13365-018-0679-4
journal of neurochemistry,JOURNAL OF NEUROCHEMISTRY,JOURNAL OF BIOCHEMISTRY,Journal of Chemistry,https://doi.org/10.1111/jnc.14706,10-1111_jnc-14706
journal of neurolinguistics,JOURNAL OF NEUROLINGUISTICS,JOURNAL OF SOCIOLINGUISTICS,JOURNAL OF LINGUISTICS,https://doi.org/10.1016/j.jneuroling.2019.100854,10-1016_j-jneuroling-2019-100854
journal of neuropsychiatry and clinical neurosciences,JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,PSYCHIATRY AND CLINICAL NEUROSCIENCES,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,https://doi.org/10.1176/appi.neuropsych.17080153,10-1176_appi-neuropsych-17080153
journal of neuroscience methods,JOURNAL OF NEUROSCIENCE METHODS,JOURNAL OF NEUROSCIENCE RESEARCH,JOURNAL OF NEUROSCIENCE NURSING,https://doi.org/10.1016/j.jneumeth.2018.05.012,10-1016_j-jneumeth-2018-05-012
journal of neuroscience psychology and economics,Journal of Neuroscience Psychology and Economics,Journal of Positive Psychology and Wellbeing,Journal of Mental Health Policy and Economics,https://doi.org/10.1037/npe0000145,10-1037_npe0000145
journal of nonverbal behavior,JOURNAL OF NONVERBAL BEHAVIOR,JOURNAL OF INSECT BEHAVIOR,JOURNAL OF VOCATIONAL BEHAVIOR,https://doi.org/10.1007/s10919-019-00324-z,10-1007_s10919-019-00324-z
journal of numerical cognition,Journal of Numerical Mathematics,JOURNAL OF MEDICAL ECONOMICS,JOURNAL OF CHEMICAL EDUCATION,https://doi.org/10.5964/jnc.6167,10-5964_jnc-6167
journal of nutrition education and behavior,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,Journal of Prison Education and Reentry,Journal of Vocational Education and Training,https://doi.org/10.1016/j.jneb.2016.09.005,10-1016_j-jneb-2016-09-005
journal of obsessivecompulsive and related disorders,Journal of Obsessive-Compulsive and Related Disorders,Journal of Scleroderma and Related Disorders,Multiple Sclerosis and Related Disorders,https://doi.org/10.1016/j.jocrd.2020.100614,10-1016_j-jocrd-2020-100614
journal of occupational health psychology,Journal of Occupational Health Psychology,JOURNAL OF OCCUPATIONAL HEALTH,JOURNAL OF EDUCATIONAL PSYCHOLOGY,https://doi.org/10.1037/a0040320,10-1037_a0040320
journal of occupational and organizational psychology,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,Journal of Accounting and Organizational Change,Journal of Spatial and Organizational Dynamics,https://doi.org/10.1111/joop.12166,10-1111_joop-12166
journal of organizational behavior,JOURNAL OF ORGANIZATIONAL BEHAVIOR,JOURNAL OF VOCATIONAL BEHAVIOR,Journal Of Organizational Behavior Research,https://doi.org/10.1002/job.2512,10-1002_job-2512
journal of organizational change management,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,Journal of Health Organization and Management,https://doi.org/10.1108/jocm-04-2017-0137,10-1108_jocm-04-2017-0137
journal of paediatrics and child health,JOURNAL OF PAEDIATRICS AND CHILD HEALTH,JOURNAL OF AQUATIC ANIMAL HEALTH,Paediatrics & Child Health,https://doi.org/10.1111/jpc.13422,10-1111_jpc-13422
journal of pain research,Journal of Pain Research,JOURNAL OF PLANT RESEARCH,JOURNAL OF MARINE RESEARCH,https://doi.org/10.2147/jpr.s134019,10-2147_jpr-s134019
journal of personality,JOURNAL OF PERSONALITY,Journal of Pregnancy,JOURNAL OF PETROLOGY,https://doi.org/10.1111/jopy.12314,10-1111_jopy-12314
journal of personality assessment,JOURNAL OF PERSONALITY ASSESSMENT,JOURNAL OF PERSONALITY DISORDERS,JOURNAL OF DRUG ASSESSMENT,empty,2.58E+16
journal of personality and social psychology,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,https://doi.org/10.1037/pspp0000125,10-1037_pspp0000125
journal of personalized medicine,Journal of Personalized Medicine,JOURNAL OF PERINATAL MEDICINE,JOURNAL OF PALLIATIVE MEDICINE,https://doi.org/10.3390/jpm11070637,10-3390_jpm11070637
journal of policy and practice in intellectual disabilities,Journal of Policy and Practice in Intellectual Disabilities,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,Journal of Mental Health Research in Intellectual Disabilities,https://doi.org/10.1111/jppi.12296,10-1111_jppi-12296
journal of political marketing,Journal of Political Marketing,Journal of Social Marketing,Journal of Islamic Marketing,https://doi.org/10.1080/15377857.2020.1869786,10-1080_15377857-2020-1869786
journal of psychiatric research,JOURNAL OF PSYCHIATRIC RESEARCH,Journal of Pediatric Research,JOURNAL OF PSYCHOSOMATIC RESEARCH,https://doi.org/10.1016/j.jpsychires.2020.12.059,10-1016_j-jpsychires-2020-12-059
journal of psychiatry and clinical psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology,https://doi.org/10.15557/pipk.2018.0032,10-15557_pipk-2018-0032
journal of psycholinguistic research,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,JOURNAL OF PSYCHOSOMATIC RESEARCH,JOURNAL OF PSYCHIATRIC RESEARCH,https://doi.org/10.1007/s10936-019-09654-x,10-1007_s10936-019-09654-x
journal of psychology and cognition,JOURNAL OF PSYCHOLOGY AND THEOLOGY,Journal of Psychology in Africa,AGING NEUROPSYCHOLOGY AND COGNITION,https://doi.org/10.35841/psychology-cognition.2.1.17-20,10-35841_psychology-cognition-2-1-17-20
journal of psychology interdisciplinary and applied,Journal of Interdisciplinary Studies,Journal of Interdisciplinary Economics,Journal of Interdisciplinary Mathematics,https://doi.org/10.1080/00223980.2020.1772702,10-1080_00223980-2020-1772702
journal of psychopathology and behavioral assessment,JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,Journal of Psychopathology and Clinical Science,JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,https://doi.org/10.1007/s10862-019-09720-7,10-1007_s10862-019-09720-7
journal of psychophysiology,JOURNAL OF PSYCHOPHYSIOLOGY,Journal of Psychopathology,JOURNAL OF PSYCHOPHARMACOLOGY,https://doi.org/10.1027/0269-8803/a000252,10-1027_0269-8803_a000252
journal of psychosocial oncology,JOURNAL OF PSYCHOSOCIAL ONCOLOGY,Journal of Social Ontology,Journal of Psychosocial Studies,empty,8.64E+18
journal of psychosomatic research,JOURNAL OF PSYCHOSOMATIC RESEARCH,JOURNAL OF PSYCHIATRIC RESEARCH,Journal of Prosthodontic Research,https://doi.org/10.1016/j.jpsychores.2017.01.007,10-1016_j-jpsychores-2017-01-007
journal of public health,JOURNAL OF PUBLIC HEALTH,JOURNAL OF RURAL HEALTH,Journal of Public Policy,https://doi.org/10.1007/s10389-020-01301-3,10-1007_s10389-020-01301-3
journal of religion and health,JOURNAL OF RELIGION & HEALTH,Journal of Religion and Film,JOURNAL OF AGING AND HEALTH,https://doi.org/10.1007/s10943-019-00821-x,10-1007_s10943-019-00821-x
journal of reproductive and infant psychology,JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,https://doi.org/10.1080/02646838.2017.1395400,10-1080_02646838-2017-1395400
journal of research in music education,JOURNAL OF RESEARCH IN MUSIC EDUCATION,Journal of Research in Higher Education,Nordic Research in Music Education,empty,2.50E+18
journal of research on adolescence,JOURNAL OF RESEARCH ON ADOLESCENCE,JOURNAL OF EARLY ADOLESCENCE,JOURNAL OF YOUTH AND ADOLESCENCE,https://doi.org/10.1111/jora.12630,10-1111_jora-12630
journal of sensory studies,JOURNAL OF SENSORY STUDIES,JOURNAL OF GENDER STUDIES,JOURNAL OF SEMITIC STUDIES,https://doi.org/10.1111/joss.12572,10-1111_joss-12572
journal of sex and marital therapy,JOURNAL OF SEX & MARITAL THERAPY,JOURNAL OF ENDOVASCULAR THERAPY,Journal of Sexual and Mental Health,https://doi.org/10.1080/0092623x.2019.1654578,10-1080_0092623x-2019-1654578
journal of social issues,JOURNAL OF SOCIAL ISSUES,JOURNAL OF FAMILY ISSUES,JOURNAL OF SOCIAL HISTORY,https://doi.org/10.1111/josi.12392,10-1111_josi-12392
journal of social psychology,JOURNAL OF SOCIAL PSYCHOLOGY,Journal of Tropical Psychology,JOURNAL OF SCHOOL PSYCHOLOGY,https://doi.org/10.1080/00224545.2017.1327404,10-1080_00224545-2017-1327404
journal of social and clinical psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,https://doi.org/10.1521/jscp.2017.36.4.265,10-1521_jscp-2017-36-4-265
journal of social and political psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,https://doi.org/10.5964/jspp.v7i1.951,10-5964_jspp-v7i1-951
journal of sport and exercise psychology,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,https://doi.org/10.1123/jsep.2017-0244,10-1123_jsep-2017-0244
journal of stomatology,JOURNAL OF DERMATOLOGY,Journal of Hematology,JOURNAL OF NEMATOLOGY,https://doi.org/10.5114/jos.2019.91234,10-5114_jos-2019-91234
journal of substance abuse treatment,JOURNAL OF SUBSTANCE ABUSE TREATMENT,Journal of Substance Use,JOURNAL OF DERMATOLOGICAL TREATMENT,https://doi.org/10.1016/j.jsat.2018.05.004,10-1016_j-jsat-2018-05-004
journal of texture studies,JOURNAL OF TEXTURE STUDIES,Journal of Futures Studies,JOURNAL OF GENDER STUDIES,https://doi.org/10.1111/jtxs.12494,10-1111_jtxs-12494
journal of theoretical social psychology,Journal of Theoretical Social Psychology,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,https://doi.org/10.1002/jts5.69,10-1002_jts5-69
journal of theoretical and philosophical psychology,Journal of Theoretical and Philosophical Psychology,Journal of Theoretical Social Psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,https://doi.org/10.1037/teo0000080,10-1037_teo0000080
journal of transport and health,Journal of Transport & Health,JOURNAL OF WATER AND HEALTH,Journal of Transport and Land Use,https://doi.org/10.1016/j.jth.2018.04.001,10-1016_j-jth-2018-04-001
journal of traumatic stress,JOURNAL OF TRAUMATIC STRESS,JOURNAL OF PRAGMATICS,Journal of Rheumatic Diseases,https://doi.org/10.1002/jts.22629,10-1002_jts-22629
journal of trust research,JOURNAL OF RISK RESEARCH,Journal of Forest Research,JOURNAL OF PLANT RESEARCH,https://doi.org/10.1080/21515581.2018.1516557,10-1080_21515581-2018-1516557
journal of vision,JOURNAL OF VISION,JOURNAL OF RELIGION,Journal of Risk,https://doi.org/10.1167/18.13.5,10-1167_18-13-5
journal of women  aging,JOURNAL OF WOMEN & AGING,Journal of Imaging,Journal of Frailty & Aging,https://doi.org/10.1080/08952841.2020.1781509,10-1080_08952841-2020-1781509
journal of workplace learning,Journal of Workplace Learning,Journal of Peer Learning,Journal of Formalized Reasoning,https://doi.org/10.1108/jwl-01-2016-0002,10-1108_jwl-01-2016-0002
journal of youth studies,Journal of Youth Studies,JOURNAL OF ROMAN STUDIES,Journal of Sufi Studies,https://doi.org/10.1080/13676261.2019.1597256,10-1080_13676261-2019-1597256
journal of child and adolescent psychopharmacology,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,Journal of Child and Adolescent Psychiatric Nursing,Research on Child and Adolescent Psychopathology,https://doi.org/10.1089/cap.2020.0075,10-1089_cap-2020-0075
journal of consulting and clinical psychology,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology,https://doi.org/10.1037/ccp0000398,10-1037_ccp0000398
journal of health psychology,JOURNAL OF HEALTH PSYCHOLOGY,JOURNAL OF GENETIC PSYCHOLOGY,Journal of Black Psychology,https://doi.org/10.1177/1359105317727842,10-1177_1359105317727842
journal of occupational and environmental medicine,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,Annals of Occupational and Environmental Medicine,JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,https://doi.org/10.1097/jom.0000000000001226,10-1097_jom-0000000000001226
journal of pediatric psychology,JOURNAL OF PEDIATRIC PSYCHOLOGY,Journal of Pediatric Neurology,Journal of Pediatric Urology,https://doi.org/10.1093/jpepsy/jsy077,10-1093_jpepsy_jsy077
journal of personality,JOURNAL OF PERSONALITY,Journal of Pregnancy,JOURNAL OF PETROLOGY,https://doi.org/10.1111/jopy.12314,10-1111_jopy-12314
journal of the american academy of child  adolescent psychiatry,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,Journal of the Canadian Academy of Child and Adolescent Psychiatry,Journal of the Korean Academy of Child and Adolescent Psychiatry,https://doi.org/10.1016/j.jaac.2018.11.007,10-1016_j-jaac-2018-11-007
journal of the endocrine society,Journal of the Endocrine Society,JOURNAL OF THE GEOLOGICAL SOCIETY,Journal of the Scientific Society,https://doi.org/10.1210/js.2017-00044,10-1210_js-2017-00044
journals of gerontology  series b psychological sciences and social sciences,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,Journal of Microbiology Biotechnology and Food Sciences,https://doi.org/10.1093/geronb/gbv080,10-1093_geronb_gbv080
judgment and decision making,Judgment and Decision Making,MEDICAL DECISION MAKING,IMAGE AND VISION COMPUTING,empty,1.14E+18
języki obce w szkole,Języki Obce w Szkole,Językoznawstwo,Wieki Stare i Nowe,empty,-5.89E+18
kwalęckamatyja  personality and interpersonal sibling relationships in early adulthood  causal analysis archives of psychiatry and psychotherapy   doi app,Materialy po Arkheologii Istorii i Etnografii Tavrii-Materials in Archaeology History and Ethnography of Tauria,Scandinavian Journal of Child and Adolescent Psychiatry and Psychology,Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy,empty,-3.69E+18
kiele ckie studia psychologiczne,Kieleckie Studia Teologiczne,Świdnickie Studia Teologiczne,Polskie Forum Psychologiczne,empty,4.08E+18
klin oczna,Klinika Oczna,Klio Polska,Phainomena,https://doi.org/10.5114/ko.2019.93474,10-5114_ko-2019-93474
kne life sciences,Open Life Sciences,LIFE SCIENCES,POLICY SCIENCES,https://doi.org/10.18502/kls.v4i8.3299,10-18502_kls-v4i8-3299
kne social sciences,Cogent Social Sciences,Mechanical Sciences,ANALYTICAL SCIENCES,https://doi.org/10.18502/kss.v4i2.6302,10-18502_kss-v4i2-6302
knee,KNEE,VIEW,Teme,https://doi.org/10.1016/j.knee.2020.06.014,10-1016_j-knee-2020-06-014
kognitywistyka i media w edukacji,Podstawy edukacji,Polonistyka Innowacje,Kultura - Przemiany - Edukacja,https://doi.org/10.15804/kimwe2018111,10-15804_kimwe2018111
konteksty kształcenia muzycznego,Konteksty Społeczne,Konteksty Pedagogiczne.,Konteksty Kultury,empty,2.50E+18
konteksty religijności i rodziny,Konteksty Pedagogiczne.,Politics Religion & Ideology,Konteksty Społeczne,https://doi.org/10.15633/9788374389327.10,10-15633_9788374389327-10
konteksty społeczne,Konteksty Społeczne,Konteksty Pedagogiczne.,Rozprawy Społeczne,https://doi.org/10.17951/ks.2019.7.2.67-82,10-17951_ks-2019-7-2-67-82
kosmos,Cosmo,Holos,KYKLOS,empty,5.09E+18
kultura bezpieczeństwa nauka  praktyka  refleksje,Bezpieczeństwo Pracy. Nauka i Praktyka,Bezpieczeństwo. Teoria i Praktyka,Studia Bezpieczeństwa Narodowego,https://doi.org/10.5604/01.3001.0012.5889,10-5604_01-3001-0012-5889
kultura i edukacja,Kultura i Edukacja,Cultura y Educacion,Kultura i Historia,https://doi.org/10.15804/kie.2017.03.10,10-15804_kie-2017-03-10
kultura i społeczeństwo,Polityka i Społeczeństwo,Media i Społeczeństwo,Państwo i Społeczeństwo,https://doi.org/10.35757/kis.2021.65.3.3,10-35757_kis-2021-65-3-3
kultura i wartości,Kultura i Wartości,Kultura i Historia,Kultura i Edukacja,https://doi.org/10.17951/kw.2019.27.213-233,10-17951_kw-2019-27-213-233
kulturaspołeczeństwoedukacja,Kultura-Społeczeństwo-Edukacja,Kultura - Przemiany - Edukacja,Kultura i Edukacja,https://doi.org/10.14746/kse.2018.14.13,10-14746_kse-2018-14-13
kwartalnik krajowej szkoły sądownictwa i prokuratury,Kwartalnik Krajowej Szkoły Sądownictwa i Prokuratury,Kwartalnik Naukowy Fides et Ratio,Kwartalnik Nauk o Przedsiębiorstwie,https://doi.org/10.53024/3.3.43.2021,10-53024_3-3-43-2021
kwartalnik naukowy fides et ratio miłość małżeństwo rodzina ujęcie interdyscyplinarne  ,Filozofia i nauka. Studia filozoficzne i interdyscyplinarne,Kwartalnik Naukowy Fides et Ratio,Nauki o Wychowaniu. Studia Interdyscyplinarne,empty,4.81E+18
