Original Title,Closest 1,Closest 2,Closest 3
international journal of neuroscience,INTERNATIONAL JOURNAL OF NEUROSCIENCE,International Journal of Nanoscience,International Journal of Oral Science
international journal of pediatric otorhinolaryngology,INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,International Journal of Pediatric Otorhinolaryngology Extra,International Journal of Pediatric Endocrinology
international journal of personality psychology,International Journal of AEROSPACE Psychology,INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,International Journal of Educational Psychology
international journal of psychology,INTERNATIONAL JOURNAL OF PSYCHOLOGY,International Journal of Sociology,International Journal of Technology
international journal of psychophysiology,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INTERNATIONAL JOURNAL OF PSYCHOLOGY,International Journal of Sociology
international journal of qualitative methods,International Journal of Qualitative Methods,International Journal of Computational Methods,International Journal of Palliative Nursing
international journal of research in elearning,International Journal of Research in E-learning,INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,International Journal of Pedagogies & Learning
international journal of rheumatic diseases,International Journal of Rheumatic Diseases,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,INTERNATIONAL JOURNAL OF THERMAL SCIENCES
international journal of school and educational psychology,International Journal of Educational Psychology,International Journal of Sport and Exercise Psychology,International Journal of Clinical and Health Psychology
international journal of selection and assessment,INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
international journal of sexual health,International Journal of Sexual Health,INTERNATIONAL JOURNAL OF MENTAL HEALTH,International Journal of Public Health
international journal of social psychology,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,International Review of Social Psychology
international journal of special education ijse,International Journal of Special Education,International Journal of Medical Education,International Journal of STEM Education
international journal of sport and exercise psychology,International Journal of Sport and Exercise Psychology,International Review of Sport and Exercise Psychology,International Journal of Applied Exercise Physiology
international journal of stress management,INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,International Journal of Arts Management,INTERNATIONAL JOURNAL OF PEST MANAGEMENT
international journal of technology and human interaction,International Journal of Technology and Human Interaction,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,International Journal of Technology in Education
international journal of womens health,International Journal of Womens Health,INTERNATIONAL JOURNAL OF MENTAL HEALTH,International Journal of Public Health
international journal on disability and human development,INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,International Journal of Training and Development,International Journal of Happiness and Development
international urology and nephrology,INTERNATIONAL UROLOGY AND NEPHROLOGY,Minerva Urology and Nephrology,International Journal of Nephrology
international archives of allergy and immunology,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,International Forum of Allergy & Rhinology,International Archives of Otorhinolaryngology
international journal of neural systems,International Journal of Neural Systems,INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,International Journal of Fuzzy Systems
international journal of psychophysiology  official journal of the international organization of psychophysiology,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,International Journal of Adult Vocational Education and Technology,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY
international journal of radiation oncology biology physics,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,International Journal of Mathematics and Physics
internet interventions,Internet Mathematics,EuroIntervention,International Relations
interpersona an international journal on personal relationships,Interventions-International Journal of Postcolonial Studies,ISPRS International Journal of Geo-Information,Anglica. An International Journal of English Studies
investigationes linguisticae,Investigaciones Turisticas,Investigaciones Feministas,INVESTIGACION CLINICA
investigative ophthalmology and visual science,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,RESTORATIVE NEUROLOGY AND NEUROSCIENCE,Integrative Psychological and Behavioral Science
issues in early education,Studies in Art Education,Issues in Accounting Education,ISSUES IN LAW & MEDICINE
issues in educational research,Issues in Educational Research,REVIEW OF EDUCATIONAL RESEARCH,Music Education Research
j back musculoskelet rehabil,Musculoskeletal Care,BMC MUSCULOSKELETAL DISORDERS,BLACK MUSIC RESEARCH JOURNAL
jama,Gaia,Data,Pampa
jama pediatrics,JAMA Pediatrics,BMC Pediatrics,PEDIATRICS
jama network open,JAMA Network Open,JAMA Neurology,IEEE NETWORK
jasss,Arts,Habis,AIDS
jmir mental health,JMIR Mental Health,BMJ Mental Health,AGING & MENTAL HEALTH
jmir research protocols,JMIR Research Protocols,Jazz Research Journal,Nature Protocols
jmir mhealth and uhealth,JMIR mHealth and uHealth,JMIR Mental Health,Epidemiology and Health
journal of developmental and physical disabilities,JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,Journal of Human Development and Capabilities
journal of personality,JOURNAL OF PERSONALITY,Journal of Pregnancy,JOURNAL OF PETROLOGY
journal of personality and social psychology,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY
ja my oni  poradnik psychologiczny polityki,Journal of Forensic Psychology Practice,Polskie Forum Psychologiczne,Journal of Sport Psychology in Action
japanese psychological research,JAPANESE PSYCHOLOGICAL RESEARCH,Asian Herpetological Research,Health Psychology Research
joint bone spine,JOINT BONE SPINE,JOR Spine,Point of Care
journal for perspectives of economic political and social integration,Journal for Perspectives of Economic Political and Social Integration. Journal for Mental Changes,Journal of the Economic Science Association-JESA,Journal of Economic and Social Studies
journal for specialists in pediatric nursing,Journal for Specialists in Pediatric Nursing,Journal for Specialists in Group Work,Journal of PeriAnesthesia Nursing
journal for the theory of social behaviour,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,Journal for the Study of Spirituality
journal of aoac international,JOURNAL OF AOAC INTERNATIONAL,Journal of Plant Interactions,Journal of Osseointegration
journal of addiction medicine,Journal of Addiction Medicine,JOURNAL OF PALLIATIVE MEDICINE,Journal of Transfusion Medicine
journal of addiction science,Journal of Addiction Medicine,Journal of Medical Science,JOURNAL OF SEPARATION SCIENCE
journal of adolescent research,JOURNAL OF ADOLESCENT RESEARCH,JOURNAL OF ADOLESCENT HEALTH,Journal of Advanced Research
journal of advanced nursing,JOURNAL OF ADVANCED NURSING,Journal of Advanced Physics,Journal of Advanced Ceramics
journal of alzheimers disease,JOURNAL OF ALZHEIMERS DISEASE,Journal of Alzheimers Disease Reports,Journal of Acute Disease
journal of american academic research,JOURNAL OF MEDICAL INTERNET RESEARCH,JOURNAL OF RUSSIAN LASER RESEARCH,Journal of Burn Care & Research
journal of american college health,JOURNAL OF AMERICAN COLLEGE HEALTH,JOURNAL OF AMERICAN CULTURE,JOURNAL OF AMERICAN FOLKLORE
journal of applied developmental psychology,JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SPORT PSYCHOLOGY
journal of applied research in higher education,Journal of Applied Research in Higher Education,Journal of Research in Higher Education,JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION
journal of applied research in intellectual disabilities,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,Journal of Mental Health Research in Intellectual Disabilities,Journal of Policy and Practice in Intellectual Disabilities
journal of applied research in memory and cognition,Journal of Applied Research in Memory and Cognition,Journal of Applied Research in Higher Education,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES
journal of applied social psychology,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,Journal of Applied School Psychology,JOURNAL OF APPLIED SPORT PSYCHOLOGY
journal of behavior therapy and experimental psychiatry,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,Journal of Behavioral and Experimental Finance,Journal of Behavioral and Experimental Economics
journal of behavioral decision making,JOURNAL OF BEHAVIORAL DECISION MAKING,JOURNAL OF BEHAVIORAL MEDICINE,Journal of Behavioral Education
journal of behavioral medicine,JOURNAL OF BEHAVIORAL MEDICINE,ANNALS OF BEHAVIORAL MEDICINE,Journal of Behavioral Addictions
journal of behavioral and experimental economics,Journal of Behavioral and Experimental Economics,Journal of Behavioral and Experimental Finance,Journal of Clinical and Experimental Hepatology
journal of beliefs  valuesstudies in religion  education,Journal of Beliefs & Values-Studies in Religion & Education,JOURNAL OF FEMINIST STUDIES IN RELIGION,Journal of Deaf Studies and Deaf Education
journal of biosocial science,JOURNAL OF BIOSOCIAL SCIENCE,JOURNAL OF BIOMEDICAL SCIENCE,Journal of Medical Science
journal of brand management,Journal of Brand Management,Journal of Urban Management,Journal of Change Management
journal of business research,JOURNAL OF BUSINESS RESEARCH,Journal of Nursing Research,JOURNAL OF MARINE RESEARCH
journal of cardiology and therapy,Journal of Audiology and Otology,JOURNAL OF PSYCHOLOGY AND THEOLOGY,JOURNAL OF FAMILY THERAPY
journal of career assessment,JOURNAL OF CAREER ASSESSMENT,JOURNAL OF DRUG ASSESSMENT,JOURNAL OF CAREER DEVELOPMENT
journal of career development,JOURNAL OF CAREER DEVELOPMENT,JOURNAL OF ADULT DEVELOPMENT,JOURNAL OF CAREER ASSESSMENT
journal of cerebral blood flow  metabolism,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,Journal of Endocrinology and Metabolism
journal of child language,JOURNAL OF CHILD LANGUAGE,JOURNAL OF CHILD NEUROLOGY,Journal of Child Health Care
journal of child psychology and psychiatry and allied disciplines,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,Journal of Pathology and Translational Medicine
journal of child sexual abuse,Journal of Child Sexual Abuse,Journal of Child Health Care,JOURNAL OF CHILD LANGUAGE
journal of child and family studies,Journal of Child and Family Studies,Journal of GLBT Family Studies,JOURNAL OF COMPARATIVE FAMILY STUDIES
journal of childrens services,Journal of Childrens Services,Journal of Childhood Studies,Journal of Tourism and Services
journal of clinical neuroscience,JOURNAL OF CLINICAL NEUROSCIENCE,JOURNAL OF COGNITIVE NEUROSCIENCE,Journal of Clinical Sciences
journal of clinical sleep medicine,Journal of Clinical Sleep Medicine,Journal of Clinical Medicine,Journal of Critical Care Medicine
journal of cognitive psychology,Journal of Cognitive Psychology,Journal of Positive Psychology,JOURNAL OF COMPARATIVE PSYCHOLOGY
journal of community  applied social psychology,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
journal of community psychology,JOURNAL OF COMMUNITY PSYCHOLOGY,JOURNAL OF FAMILY PSYCHOLOGY,Journal of Cognitive Psychology
journal of comparative psychology,JOURNAL OF COMPARATIVE PSYCHOLOGY,JOURNAL OF COMPARATIVE PATHOLOGY,JOURNAL OF COMPARATIVE NEUROLOGY
journal of computational neuroscience,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,Journal of Computational Science,Journal of Computational Social Science
journal of consciousness studies,JOURNAL OF CONSCIOUSNESS STUDIES,Journal of Media Business Studies,Journal of Asia Business Studies
journal of constructivist psychology,JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,JOURNAL OF COMPARATIVE PSYCHOLOGY,Journal of Cognitive Psychology
journal of contemporary psychotherapy,JOURNAL OF CONTEMPORARY PSYCHOTHERAPY,Journal of Contemporary Brachytherapy,JOURNAL OF CONTEMPORARY ETHNOGRAPHY
journal of counsellogy,JOURNAL OF CONCHOLOGY,Journal of Oncology,JOURNAL OF ECOLOGY
journal of creative behavior,JOURNAL OF CREATIVE BEHAVIOR,JOURNAL OF INSECT BEHAVIOR,JOURNAL OF VOCATIONAL BEHAVIOR
journal of criminal justice,JOURNAL OF CRIMINAL JUSTICE,Journal of Crime & Justice,Women & Criminal Justice
journal of crohns and colitis,Journal of Crohns & Colitis,Journal of Law and Courts,Journal of Language and Politics
journal of crosscultural psychology,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,Journal of Cross-Cultural Gerontology,Journal of Tropical Psychology
journal of divorce  remarriage,Journal of Advanced Research,Journal of Diabetes Research,JOURNAL OF ADVANCED NURSING
journal of economic dynamics and control,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,JOURNAL OF VIBRATION AND CONTROL,Journal of Economic Policy Reform
journal of education policy,JOURNAL OF EDUCATION POLICY,Journal of Information Policy,Journal of Education Finance
journal of educational research,JOURNAL OF EDUCATIONAL RESEARCH,JOURNAL OF RADIATION RESEARCH,JOURNAL OF POPULATION RESEARCH
journal of educational sciences,Journal of Educational Change,Journal of Occupational Science,Journal of Computational Science
journal of environmental psychology,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,JOURNAL OF ENVIRONMENTAL BIOLOGY,JOURNAL OF ENVIRONMENTAL EDUCATION
journal of ethnic and cultural studies,Journal of African Cultural Studies,Journal of Urban Cultural Studies,Journal of Spanish Cultural Studies
journal of ethnic and migration studies,JOURNAL OF ETHNIC AND MIGRATION STUDIES,Journal of Arabic and Islamic studies,Journal of Economic and Social Studies
journal of experimental child psychology,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY
journal of experimental education,JOURNAL OF EXPERIMENTAL EDUCATION,Journal of Experiential Education,JOURNAL OF ENVIRONMENTAL EDUCATION
journal of experimental psychology animal learning and cognition,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE
journal of experimental psychology applied,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,Journal of Experimental Psychopathology
journal of experimental psychology general,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,Journal of Experimental Psychopathology
journal of experimental psychology human perception and performance,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION
journal of experimental social psychology,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY
journal of eye movement research,Journal of Eye Movement Research,JOURNAL OF ADOLESCENT RESEARCH,Journal of Engineering Research
journal of family issues,JOURNAL OF FAMILY ISSUES,Journal of Family Studies,JOURNAL OF SOCIAL ISSUES
journal of family nursing,Journal of Family Nursing,Journal of Family Studies,JOURNAL OF FAMILY ISSUES
journal of family research,JFR-Journal of Family Research,JOURNAL OF DAIRY RESEARCH,JOURNAL OF MARINE RESEARCH
journal of family studies,Journal of Family Studies,JOURNAL OF FAMILY ISSUES,JOURNAL OF ASIAN STUDIES
journal of family violence,JOURNAL OF FAMILY VIOLENCE,Journal of School Violence,JOURNAL OF FAMILY PRACTICE
journal of gambling issues,Journal of Gambling Issues,JOURNAL OF GAMBLING STUDIES,JOURNAL OF FAMILY ISSUES
journal of gambling studies,JOURNAL OF GAMBLING STUDIES,Journal of Gambling Issues,JOURNAL OF AGING STUDIES
journal of gender studies,JOURNAL OF GENDER STUDIES,Journal of Hindu Studies,JOURNAL OF SENSORY STUDIES
journal of globalization studies,JOURNAL OF BALTIC STUDIES,Journal of Global Security Studies,Journal of GLBT Family Studies
journal of happiness studies,Journal of Happiness Studies,JOURNAL OF JAPANESE STUDIES,JOURNAL OF AGING STUDIES
journal of health psychology,JOURNAL OF HEALTH PSYCHOLOGY,JOURNAL OF GENETIC PSYCHOLOGY,Journal of Black Psychology
journal of hearing science,Journal of Hearing Science,Journal of Earth Science,JOURNAL OF MINING SCIENCE
journal of homosexuality,JOURNAL OF HOMOSEXUALITY,Journal of Bisexuality,JOURNAL OF FOOD QUALITY
journal of human behavior in the social environment,Journal of Human Behavior in the Social Environment,Journal of Sustainable Water in the Built Environment,Journal of Human Rights and the Environment
journal of human kinetics,Journal of Human Kinetics,JOURNAL OF HUMAN GENETICS,Journal of Human Rights
journal of humanistic psychology,JOURNAL OF HUMANISTIC PSYCHOLOGY,JOURNAL OF GENETIC PSYCHOLOGY,JOURNAL OF HEALTH PSYCHOLOGY
journal of intellectual disabilities and offending behaviour,Journal of Intellectual Disabilities and Offending Behaviour,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,Journal of Intellectual Disabilities
journal of intellectual disability research,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,Journal of Intellectual Disabilities,Journal of Intellectual Capital
journal of intelligence,Journal of Intelligence,Journal of Intensive Care,JOURNAL OF INFECTION
journal of international business studies,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Journal of International Business Policy,Journal of Media Business Studies
journal of international studies,Journal of International Students,Journal of International Studies-JIS,Journal of Institutional Studies
journal of language modelling,Journal of Language Modelling,Journal of Choice Modelling,Journal of Language Evolution
journal of language and social psychology,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
journal of management information and decision sciences,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,Journal of Information and Organizational Sciences
journal of management spirituality  religion,Journal of Management Spirituality & Religion,Journal of Religion Spirituality & Aging,Journal of Management & Organization
journal of manipulative and physiological therapeutics,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS
journal of medical ethics,JOURNAL OF MEDICAL ETHICS,Journal of Media Ethics,Journal of Medical Physics
journal of medical internet research,JOURNAL OF MEDICAL INTERNET RESEARCH,Journal of Medical and Surgical Research,JOURNAL OF EDUCATIONAL RESEARCH
journal of medical science,Journal of Medical Science,JOURNAL OF BIOMEDICAL SCIENCE,JOURNAL OF ANIMAL SCIENCE
journal of memory and language,JOURNAL OF MEMORY AND LANGUAGE,JOURNAL OF CHILD LANGUAGE,Journal of Computer Languages
journal of music therapy,JOURNAL OF MUSIC THERAPY,JOURNAL OF MUSIC THEORY,JOURNAL OF FAMILY THERAPY
journal of neurovirology,JOURNAL OF NEUROVIROLOGY,JOURNAL OF NEURO-ONCOLOGY,JOURNAL OF NEUROLOGY
journal of neurochemistry,JOURNAL OF NEUROCHEMISTRY,JOURNAL OF BIOCHEMISTRY,Journal of Chemistry
journal of neurolinguistics,JOURNAL OF NEUROLINGUISTICS,JOURNAL OF SOCIOLINGUISTICS,JOURNAL OF LINGUISTICS
journal of neuropsychiatry and clinical neurosciences,JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,PSYCHIATRY AND CLINICAL NEUROSCIENCES,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE
journal of neuroscience methods,JOURNAL OF NEUROSCIENCE METHODS,JOURNAL OF NEUROSCIENCE RESEARCH,JOURNAL OF NEUROSCIENCE NURSING
journal of neuroscience psychology and economics,Journal of Neuroscience Psychology and Economics,Journal of Positive Psychology and Wellbeing,Journal of Mental Health Policy and Economics
journal of nonverbal behavior,JOURNAL OF NONVERBAL BEHAVIOR,JOURNAL OF INSECT BEHAVIOR,JOURNAL OF VOCATIONAL BEHAVIOR
journal of numerical cognition,Journal of Numerical Mathematics,JOURNAL OF MEDICAL ECONOMICS,JOURNAL OF CHEMICAL EDUCATION
journal of nutrition education and behavior,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,Journal of Prison Education and Reentry,Journal of Vocational Education and Training
journal of obsessivecompulsive and related disorders,Journal of Obsessive-Compulsive and Related Disorders,Journal of Scleroderma and Related Disorders,Multiple Sclerosis and Related Disorders
journal of occupational health psychology,Journal of Occupational Health Psychology,JOURNAL OF OCCUPATIONAL HEALTH,JOURNAL OF EDUCATIONAL PSYCHOLOGY
journal of occupational and organizational psychology,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,Journal of Accounting and Organizational Change,Journal of Spatial and Organizational Dynamics
journal of organizational behavior,JOURNAL OF ORGANIZATIONAL BEHAVIOR,JOURNAL OF VOCATIONAL BEHAVIOR,Journal Of Organizational Behavior Research
journal of organizational change management,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,Journal of Health Organization and Management
journal of paediatrics and child health,JOURNAL OF PAEDIATRICS AND CHILD HEALTH,JOURNAL OF AQUATIC ANIMAL HEALTH,Paediatrics & Child Health
journal of pain research,Journal of Pain Research,JOURNAL OF PLANT RESEARCH,JOURNAL OF MARINE RESEARCH
journal of personality,JOURNAL OF PERSONALITY,Journal of Pregnancy,JOURNAL OF PETROLOGY
journal of personality assessment,JOURNAL OF PERSONALITY ASSESSMENT,JOURNAL OF PERSONALITY DISORDERS,JOURNAL OF DRUG ASSESSMENT
journal of personality and social psychology,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY
journal of personalized medicine,Journal of Personalized Medicine,JOURNAL OF PERINATAL MEDICINE,JOURNAL OF PALLIATIVE MEDICINE
journal of policy and practice in intellectual disabilities,Journal of Policy and Practice in Intellectual Disabilities,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,Journal of Mental Health Research in Intellectual Disabilities
journal of political marketing,Journal of Political Marketing,Journal of Social Marketing,Journal of Islamic Marketing
journal of psychiatric research,JOURNAL OF PSYCHIATRIC RESEARCH,Journal of Pediatric Research,JOURNAL OF PSYCHOSOMATIC RESEARCH
journal of psychiatry and clinical psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology
journal of psycholinguistic research,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,JOURNAL OF PSYCHOSOMATIC RESEARCH,JOURNAL OF PSYCHIATRIC RESEARCH
journal of psychology and cognition,JOURNAL OF PSYCHOLOGY AND THEOLOGY,Journal of Psychology in Africa,AGING NEUROPSYCHOLOGY AND COGNITION
journal of psychology interdisciplinary and applied,Journal of Interdisciplinary Studies,Journal of Interdisciplinary Economics,Journal of Interdisciplinary Mathematics
journal of psychopathology and behavioral assessment,JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,Journal of Psychopathology and Clinical Science,JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT
journal of psychophysiology,JOURNAL OF PSYCHOPHYSIOLOGY,Journal of Psychopathology,JOURNAL OF PSYCHOPHARMACOLOGY
journal of psychosocial oncology,JOURNAL OF PSYCHOSOCIAL ONCOLOGY,Journal of Social Ontology,Journal of Psychosocial Studies
journal of psychosomatic research,JOURNAL OF PSYCHOSOMATIC RESEARCH,JOURNAL OF PSYCHIATRIC RESEARCH,Journal of Prosthodontic Research
journal of public health,JOURNAL OF PUBLIC HEALTH,JOURNAL OF RURAL HEALTH,Journal of Public Policy
journal of religion and health,JOURNAL OF RELIGION & HEALTH,Journal of Religion and Film,JOURNAL OF AGING AND HEALTH
journal of reproductive and infant psychology,JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY
journal of research in music education,JOURNAL OF RESEARCH IN MUSIC EDUCATION,Journal of Research in Higher Education,Nordic Research in Music Education
journal of research on adolescence,JOURNAL OF RESEARCH ON ADOLESCENCE,JOURNAL OF EARLY ADOLESCENCE,JOURNAL OF YOUTH AND ADOLESCENCE
journal of sensory studies,JOURNAL OF SENSORY STUDIES,JOURNAL OF GENDER STUDIES,JOURNAL OF SEMITIC STUDIES
journal of sex and marital therapy,JOURNAL OF SEX & MARITAL THERAPY,JOURNAL OF ENDOVASCULAR THERAPY,Journal of Sexual and Mental Health
journal of social issues,JOURNAL OF SOCIAL ISSUES,JOURNAL OF FAMILY ISSUES,JOURNAL OF SOCIAL HISTORY
journal of social psychology,JOURNAL OF SOCIAL PSYCHOLOGY,Journal of Tropical Psychology,JOURNAL OF SCHOOL PSYCHOLOGY
journal of social and clinical psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY
journal of social and political psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY
journal of sport and exercise psychology,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY
journal of stomatology,JOURNAL OF DERMATOLOGY,Journal of Hematology,JOURNAL OF NEMATOLOGY
journal of substance abuse treatment,JOURNAL OF SUBSTANCE ABUSE TREATMENT,Journal of Substance Use,JOURNAL OF DERMATOLOGICAL TREATMENT
journal of texture studies,JOURNAL OF TEXTURE STUDIES,Journal of Futures Studies,JOURNAL OF GENDER STUDIES
journal of theoretical social psychology,Journal of Theoretical Social Psychology,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY
journal of theoretical and philosophical psychology,Journal of Theoretical and Philosophical Psychology,Journal of Theoretical Social Psychology,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY
journal of transport and health,Journal of Transport & Health,JOURNAL OF WATER AND HEALTH,Journal of Transport and Land Use
journal of traumatic stress,JOURNAL OF TRAUMATIC STRESS,JOURNAL OF PRAGMATICS,Journal of Rheumatic Diseases
journal of trust research,JOURNAL OF RISK RESEARCH,Journal of Forest Research,JOURNAL OF PLANT RESEARCH
journal of vision,JOURNAL OF VISION,JOURNAL OF RELIGION,Journal of Risk
journal of women  aging,JOURNAL OF WOMEN & AGING,Journal of Imaging,Journal of Frailty & Aging
journal of workplace learning,Journal of Workplace Learning,Journal of Peer Learning,Journal of Formalized Reasoning
journal of youth studies,Journal of Youth Studies,JOURNAL OF ROMAN STUDIES,Journal of Sufi Studies
journal of child and adolescent psychopharmacology,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,Journal of Child and Adolescent Psychiatric Nursing,Research on Child and Adolescent Psychopathology
journal of consulting and clinical psychology,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Journal of Police and Criminal Psychology
journal of health psychology,JOURNAL OF HEALTH PSYCHOLOGY,JOURNAL OF GENETIC PSYCHOLOGY,Journal of Black Psychology
